"nbAct";"listAct";"crew_id"
4;"[20180810AF7731NTECDG01,20180812AF1887EDICDG01,20180810AF7730CDGNTE01,20180810AF1886CDGEDI01]";"crew142"
2;"[20180810AF1333ATHCDG01,20180810AF1332CDGATH01]";"crew143"
2;"[20180805AF1181LHRCDG01,20180805AF1080CDGLHR01]";"crew144"
3;"[20180805AF7651LYSCDG01,20180805AF1643GVACDG01,20180805AF1642CDGGVA01]";"crew145"
6;"[20180806AF1063ARNCDG01,20180806AF1062CDGARN01,20180805AF1511HAMCDG01,20180806AF7643LYSCDG01,20180805AF1510CDGHAM01,20180805AF7648CDGLYS01]";"crew146"
6;"[20180806AF1596CDGCMN01,20180806AF1229BLQCDG01,20180807AF1082CDGPRG01,20180807AF1497CMNCDG01,20180807AF1083PRGCDG01,20180806AF1228CDGBLQ01]";"crew147"
6;"[20180807AF1146CDGWAW01,20180808AF7627BODCDG01,20180808AF1243GVACDG01,20180808AF7622CDGBOD01,20180807AF1147WAWCDG01,20180807AF1342CDGGVA01]";"crew148"
5;"[20180808AF7643LYSCDG01,20180807AF7731NTECDG01,20180808AF1063ARNCDG01,20180807AF7730CDGNTE01,20180807AF7648CDGLYS01]";"crew149"
4;"[20180809AF1851CPHCDG01,20180808AF1801MADCDG01,20180808AF1800CDGMAD01,20180808AF1350CDGCPH01]";"crew150"
3;"[20180809AF1301MADCDG01,20180810AF1029BLQCDG01,20180809AF1328CDGBLQ01]";"crew151"
4;"[20180809AF1141AMSCDG01,20180810AF7629BODCDG01,20180809AF7630CDGBOD01,20180809AF1140CDGAMS01]";"crew152"
6;"[20180809AF7731NTECDG01,20180810AF1231MXPCDG01,20180810AF1767FLRCDG01,20180809AF7730CDGNTE01,20180810AF1766CDGFLR01,20180809AF1630CDGMXP01]";"crew153"
6;"[20180811AF7643LYSCDG01,20180811AF1062CDGARN01,20180811AF1063ARNCDG01,20180810AF1253BGOCDG01,20180810AF1252CDGBGO01,20180810AF7648CDGLYS01]";"crew154"
2;"[20180806AF1033ATHCDG01,20180805AF1532CDGATH01]";"crew155"
6;"[20180811AF1611HAMCDG01,20180811AF1831MXPCDG01,20180810AF1115ZRHCDG01,20180810AF1710CDGHAM01,20180811AF1830CDGMXP01,20180810AF1114CDGZRH01]";"crew156"
3;"[20180805AF1231MXPCDG01,20180805AF1441AMSCDG01,20180805AF1440CDGAMS01]";"crew157"
4;"[20180806AF1044CDGSVO01,20180806AF1081LHRCDG01,20180807AF1845SVOCDG01,20180805AF1780CDGLHR01]";"crew158"
3;"[20180807AF1711HAMCDG01,20180807AF1101MADCDG01,20180807AF1100CDGMAD01]";"crew159"
6;"[20180808AF7645LYSCDG01,20180807AF7651LYSCDG01,20180807AF7625BODCDG01,20180807AF7620CDGBOD01,20180806AF7517TLSCDG01,20180807AF7652CDGLYS01]";"crew160"
10;"[20180807AF7683MPLCDG01,20180808AF1567FLRCDG01,20180807AF7733BESCDG01,20180806AF1253BGOCDG01,20180806AF1252CDGBGO01,20180806AF7684CDGMPL01,20180808AF7527TLSCDG01,20180807AF1266CDGFLR01,20180808AF7524CDGTLS01,20180807AF7738CDGBES01]";"crew161"
5;"[20180807AF1343GVACDG01,20180808AF1582CDGPRG01,20180808AF1533ATHCDG01,20180808AF1583PRGCDG01,20180807AF1032CDGATH01]";"crew162"
5;"[20180807AF1465LEDCDG01,20180808AF1781LHRCDG01,20180808AF7633BODCDG01,20180806AF1664CDGLED01,20180807AF1180CDGLHR01]";"crew163"
6;"[20180809AF7643LYSCDG01,20180809AF1359RBACDG01,20180808AF1359RBACDG01,20180809AF7652CDGLYS01,20180808AF1258CDGRBA01,20180807AF1258CDGRBA01]";"crew164"
4;"[20180808AF1081LHRCDG01,20180808AF1044CDGSVO01,20180809AF1145SVOCDG01,20180807AF1780CDGLHR01]";"crew165"
6;"[20180809AF1411HAMCDG01,20180807AF7669MRSCDG01,20180808A56229BODFSC01,20180807AF7624CDGBOD01,20180807AF7660CDGMRS01,20180808A56274FSCNTE01]";"crew166"
8;"[20180807AF1788CDGSOF01,20180808AF1581LHRCDG01,20180809AF1029BLQCDG01,20180809AF1367FLRCDG01,20180807AF1789SOFCDG01,20180807AF1380CDGLHR01,20180809AF1366CDGFLR01,20180808AF1328CDGBLQ01]";"crew167"
8;"[20180809AF1788CDGSOF01,20180810AF1581LHRCDG01,20180811AF1029BLQCDG01,20180811AF1367FLRCDG01,20180809AF1789SOFCDG01,20180809AF1380CDGLHR01,20180811AF1366CDGFLR01,20180810AF1328CDGBLQ01]";"crew168"
6;"[20180807AF1511HAMCDG01,20180807AF1462CDGARN01,20180808AF1263ARNCDG01,20180808AF7637BODCDG01,20180808AF7634CDGBOD01,20180807AF1510CDGHAM01]";"crew169"
5;"[20180810AF1225LISCDG01,20180809AF1351CPHCDG01,20180810AF7621BODCDG01,20180809AF7622CDGBOD01,20180810AF1224CDGLIS01]";"crew170"
6;"[20180809AF7651LYSCDG01,20180808AF7669MRSCDG01,20180809AF1262CDGARN01,20180810AF1463ARNCDG01,20180808AF7652CDGLYS01,20180808AF7660CDGMRS01]";"crew171"
